address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,Hours_day,Hours_night,fecha
"City Textile, 3001 E Pico Blvd, Los Angeles, CA 90023",0x80c2c98c0e3c16fd:0x29ec8a728764fdf9,34.0188913,-118.2152898,['Textile exporter'],4.5,6,0,0,2024-07-16
"San Soo Dang, 761 S Vermont Ave, Los Angeles, CA 90005",0x80c2c778e3b73d33:0xbdc58662a4a97d49,34.0580917,-118.2921295,['Korean restaurant'],4.4,18,0,0,2024-07-16
"Nova Fabrics, 2200 E 11th St, Los Angeles, CA 90021",0x80c2c89923b27a41:0x32041559418d447,34.0236689,-118.2329297,['Fabric store'],3.3,6,0,0,2024-07-16
"Nobel Textile Co, 719 E 9th St, Los Angeles, CA 90021",0x80c2c632f933b073:0xc31785961fe826a6,34.0366942,-118.2494208,['Fabric store'],4.3,7,0,0,2024-07-16
"Beads and More, 800 Maple Ave # 101, Los Angeles, CA 90014",0x80c2c6349f4c5123:0x847fe6c3b420dff8,34.0405857,-118.2513136,"['Bead store', 'Craft store', 'Jewelry store', 'Natural stone supplier', 'Wholesaler']",3.3,18,0,0,2024-07-16
"Ace Jewelry & Loan, Los Angeles, CA 90014",0x80c2c7b55645209b:0x3d75769351cc952a,34.0452108,-118.2531536,['Jewelry store'],3.3,7,0,0,2024-07-16
"Widows Peak Salon, 970 N Broadway Suite 214A, Los Angeles, CA 90012",0x80c2c6594138441d:0x59088f7293270c3f,34.0662922,-118.2357132,['Hair salon'],4.8,35,0,0,2024-07-16
"HED, 550 S Hope St Suite 2500, Los Angeles, CA 90071",0x80c2c7b17096f7c7:0x89be97128dcee069,34.0497206,-118.2556317,['Architect'],4.5,2,0,0,2024-07-16
"Westshire/Pelham Stairs, 2873 Stairs, Los Angeles, CA 90068",0x80c2bf6d851adbeb:0x2d083ded393e121a,34.120216,-118.31931,['Hiking area'],4.7,7,0,0,2024-07-16
"Venice-Barry Apartments, 11811 CA-187, Los Angeles, CA 90066",0x80c2ba4494aec04b:0xbe548e2fbd53a280,34.0080956,-118.4262805,['Student housing center'],4.0,25,0,0,2024-07-16
"El Zacatecas Sports Bar, 12017 Venice Blvd., Los Angeles, CA 90066",0x80c2ba5b61bb2415:0x217207f872e3db5e,34.0061111,-118.4297222,"['Sports bar', 'Bar']",4.0,18,0,0,2024-07-16
"La Potranca, 12821 Venice Blvd., Los Angeles, CA 90066",0x80c2baf50d29bf63:0x5bd904b842b9fcc,34.000180799999995,-118.4412489,['Restaurant'],4.2,13,0,0,2024-07-16
