gmap_id,last_three_ratings,predicted_three_ratings
0x80c2b09b6710f02d:0xf58ccff2da1c8d08,"[3.0, 5.0, 5.0]","[4.21, 4.21, 4.21]"
0x80c2b0d7f6cd76c3:0xc78eb0bd84f97a66,"[1.0, 3.0, 2.0]","[2.43, 2.43, 2.43]"
0x80c2b0d7f9ffc3a5:0x4d9a5ee497d13132,"[1.0, 1.5, 5.0]","[2.78, 2.78, 2.78]"
0x80c2b126e58bd95b:0xec75330a286f453,"[2.0, 2.0, 3.0]","[2.05, 2.05, 2.05]"
0x80c2b129730002ff:0xfb010630928888ca,"[2.0, 2.5, 4.0]","[4.21, 4.21, 4.21]"
0x80c2b13c1e915963:0xc5e8980d4091328e,"[5.0, 5.0, 4.5]","[4.95, 4.95, 4.95]"
0x80c2b1af3c75adc5:0xcc99623c52416d89,"[4.5, 5.0, 5.0]","[4.72, 4.72, 4.72]"
0x80c2b603e54e9e11:0xd447d693b0790e42,"[1.0, 4.0, 5.0]","[4.12, 4.12, 4.12]"
0x80c2b6249b917207:0x4f8610f6b02b631c,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b63e83faa29b:0xf3474d9790cbf762,"[5.0, 5.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2b6d8a39fc129:0x348a4304d6860ead,"[4.0, 3.0, 4.0]","[4.41, 4.41, 4.41]"
0x80c2b70dca916f93:0x2353dbe77fae41b,"[3.0, 4.0, 4.0]","[4.59, 4.59, 4.59]"
0x80c2b7233684720f:0x478baea1d7738cf0,"[5.0, 4.5, 5.0]","[4.51, 4.51, 4.51]"
0x80c2b73e3bdd0557:0xe66fd4fb5538f5b8,"[4.0, 5.0, 4.6]","[4.85, 4.85, 4.85]"
0x80c2b740fea4875b:0xc8f76822a779228b,"[2.0, 5.0, 3.0]","[4.56, 4.56, 4.56]"
0x80c2b74d3bdef5f7:0x20216a8ce029dce0,"[4.0, 3.5, 5.0]","[3.4, 3.4, 3.4]"
0x80c2b77046240dd9:0xacf526136e6d3fa5,"[4.0, 5.0, 5.0]","[4.84, 4.84, 4.84]"
0x80c2b777d3f3ced1:0x7421e86e7b5adbdb,"[4.6, 5.0, 5.0]","[4.38, 4.38, 4.38]"
0x80c2b784d3a9f78d:0x1d9c9b22fec82a88,"[5.0, 5.0, 4.5]","[4.36, 4.36, 4.36]"
0x80c2b789117b2b41:0x807bba4504c1d932,"[2.0, 3.0, 5.0]","[4.58, 4.58, 4.58]"
0x80c2b799e0d89eab:0xe52294b0b3b64b32,"[2.0, 5.0, 5.0]","[3.5, 3.5, 3.5]"
0x80c2b799fa65f555:0x470610a97113cc94,"[5.0, 5.0, 5.0]","[4.45, 4.45, 4.45]"
0x80c2b7c2d444e9b1:0x724f664d9b7067fe,"[3.5, 5.0, 5.0]","[4.33, 4.33, 4.33]"
0x80c2b7c91a8a01fb:0xfa2ac490df79afa6,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b7c92406ede1:0xc8b502c621c1c48d,"[1.0, 4.0, 5.0]","[4.18, 4.18, 4.18]"
0x80c2b7dc505f0c03:0x2cb6fc74912aafd4,"[2.0, 4.5, 2.5]","[3.55, 3.55, 3.55]"
0x80c2b7ddd52bbf7f:0x39b07cc686129c62,"[5.0, 5.0, 5.0]","[4.65, 4.65, 4.65]"
0x80c2b7e03005c2c9:0x8ea04663e986e2d5,"[4.5, 5.0, 5.0]","[4.81, 4.81, 4.81]"
0x80c2b8007c5eda09:0x7198616165c54b29,"[5.0, 4.0, 5.0]","[4.78, 4.78, 4.78]"
0x80c2b8101880ed11:0xc675fc3e60236e0e,"[5.0, 5.0, 5.0]","[4.32, 4.32, 4.32]"
0x80c2b82f175a41e5:0x6b19dbad313532e5,"[1.0, 3.33, 5.0]","[4.12, 4.12, 4.12]"
0x80c2b830a9d22aed:0x9503a20842f0dcb6,"[5.0, 5.0, 4.0]","[3.12, 3.12, 3.12]"
0x80c2b84e4245032f:0xb578bffbd15cc9cd,"[5.0, 5.0, 5.0]","[4.52, 4.52, 4.52]"
0x80c2b85bdbbdf717:0xd8bde51db30a3875,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b8710d9a728d:0x6d1b3886d2d7e5ed,"[3.0, 4.5, 5.0]","[4.73, 4.73, 4.73]"
0x80c2b88280cca175:0x5f9d5644e65a3315,"[5.0, 5.0, 5.0]","[4.03, 4.03, 4.03]"
0x80c2b885b74dbbc3:0x48b6a5fc5f4b8ed3,"[4.0, 3.0, 5.0]","[4.5, 4.5, 4.5]"
0x80c2b8866af11a0b:0x2b06b9336c1b441b,"[5.0, 1.5, 2.5]","[4.07, 4.07, 4.07]"
0x80c2b890314b4ad7:0x569860ae58137800,"[4.0, 4.0, 4.67]","[4.21, 4.21, 4.21]"
0x80c2b89039870ea3:0xebbff4cfb499882d,"[4.0, 4.0, 5.0]","[2.92, 2.92, 2.92]"
0x80c2b89048115d51:0x5bb87ffaefff1e4e,"[5.0, 1.0, 5.0]","[3.18, 3.18, 3.18]"
0x80c2b899174d11d3:0x9a6c7d174e22cefe,"[5.0, 5.0, 2.5]","[4.1, 4.1, 4.1]"
0x80c2b89ac3f61425:0xf9f6aad1ef822c5b,"[3.5, 5.0, 3.5]","[4.18, 4.18, 4.18]"
0x80c2b89aecbd09e1:0x13202bad667715d5,"[3.0, 3.0, 5.0]","[3.64, 3.64, 3.64]"
0x80c2b8a0701ec7ab:0xaeb2db4ca1538537,"[5.0, 5.0, 5.0]","[4.95, 4.95, 4.95]"
0x80c2b8a2e0d7882b:0xa846fc4c0a3edce6,"[4.0, 5.0, 5.0]","[4.27, 4.27, 4.27]"
0x80c2b8c764f00001:0x708ed80976af7d61,"[4.0, 5.0, 3.0]","[4.16, 4.16, 4.16]"
0x80c2b8cd833c7995:0x93f4ec78f08becb2,"[1.0, 1.0, 5.0]","[4.25, 4.25, 4.25]"
0x80c2b8d848389eb7:0x48932ee8155e7573,"[4.0, 5.0, 5.0]","[4.47, 4.47, 4.47]"
0x80c2b8d8ee781633:0x994f187c7432f796,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b9035abd7b75:0x84116fe39c82dc32,"[4.0, 5.0, 4.5]","[4.79, 4.79, 4.79]"
0x80c2b904f220527f:0xfd32b01d13e26967,"[5.0, 5.0, 4.67]","[4.54, 4.54, 4.54]"
0x80c2b90f2817f0eb:0xa3ff7a0bb8c343c2,"[5.0, 5.0, 4.5]","[4.88, 4.88, 4.88]"
0x80c2b917d918b291:0xc985a07af934b21f,"[3.0, 5.0, 5.0]","[4.5, 4.5, 4.5]"
0x80c2b92fc2d303c3:0xafbcb3d0a702bc4a,"[2.0, 3.0, 3.67]","[2.89, 2.89, 2.89]"
0x80c2b9355ffe90d9:0x7375a4f9705b306f,"[4.0, 4.0, 3.5]","[2.99, 2.99, 2.99]"
0x80c2b9368c96a8a7:0x32fdba74f4e9e0a2,"[3.5, 5.0, 5.0]","[3.56, 3.56, 3.56]"
0x80c2b943ea6e3059:0xf3df57ae83d2f34a,"[1.0, 2.0, 1.0]","[3.26, 3.26, 3.26]"
0x80c2b9471067d699:0x25ea3c7e5e66514,"[5.0, 5.0, 4.0]","[4.87, 4.87, 4.87]"
0x80c2b94d5746321f:0x316c58d1d1014b54,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b955979b701d:0xb21caed9d84d14eb,"[5.0, 4.67, 4.25]","[4.38, 4.38, 4.38]"
0x80c2b958ac46ae6d:0x3ad955ba20a99fd6,"[4.5, 5.0, 3.67]","[4.83, 4.83, 4.83]"
0x80c2b95ea1c82b1d:0x11d99809de0df36a,"[5.0, 4.5, 4.0]","[4.41, 4.41, 4.41]"
0x80c2b95f5996e019:0x471bd04dfcb7a70c,"[4.0, 4.0, 5.0]","[4.71, 4.71, 4.71]"
0x80c2b962c003de5b:0x8429fee0efbb4f84,"[4.5, 5.0, 5.0]","[4.88, 4.88, 4.88]"
0x80c2b964d08e6fe7:0x5a3da26983a21a08,"[5.0, 4.5, 4.8]","[4.49, 4.49, 4.49]"
0x80c2b966f3a7921b:0x674518e3263e49b2,"[5.0, 5.0, 5.0]","[4.12, 4.12, 4.12]"
0x80c2b96db8b69645:0xf39c7ed4d4eb56ec,"[3.0, 5.0, 5.0]","[4.79, 4.79, 4.79]"
0x80c2b98096ce1d1d:0x194fad307470a12c,"[1.0, 4.0, 5.0]","[4.4, 4.4, 4.4]"
0x80c2b9968acb8cdf:0x9c0702d4b09a9547,"[5.0, 3.0, 5.0]","[2.39, 2.39, 2.39]"
0x80c2b99cc7183dcb:0x6e7c188b6999e0b9,"[5.0, 4.5, 4.0]","[3.4, 3.4, 3.4]"
0x80c2b9a07b2352d3:0x8a89995f1eb7c6f6,"[4.5, 4.0, 2.0]","[4.43, 4.43, 4.43]"
0x80c2b9a3e3e079db:0x2ee214f1fedac2f0,"[4.0, 5.0, 1.0]","[3.36, 3.36, 3.36]"
0x80c2b9a3f0a3abc7:0x78dc3ccfaf84ba5a,"[5.0, 5.0, 5.0]","[4.89, 4.89, 4.89]"
0x80c2b9aa1d15ebcf:0x1a42d43669d12191,"[1.0, 4.83, 4.75]","[2.94, 2.94, 2.94]"
0x80c2b9b961dcae95:0xbd51da2c5532aeaf,"[5.0, 4.5, 4.23]","[4.88, 4.88, 4.88]"
0x80c2b9bd05a36f31:0x1f99962d3e30c738,"[3.0, 5.0, 5.0]","[4.62, 4.62, 4.62]"
0x80c2b9bebe922fa9:0xb14b5c6aebb61046,"[4.5, 5.0, 4.0]","[2.68, 2.68, 2.68]"
