inmueble,user_pref,user_res_p,user_res_c,user_rel_p,user_rel_c,user_rec_p,user_rec_c,mens,inmuser_id
inmueble_1,user_pref_1,3,4,1,4,2,1,"Tienes un restaurante llamado 'Fire Chicken' a 300.0 metros de esta ubicación con una valoración de 4.71, Tienes un '조아라 내과 / Ahra Cho MD' a 600.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Felipe De Neve Branch Library' a 1000.0 metros de esta ubicación con una valoración de 4.93, Tienes un 'Won Buddhism Los Angelas' a 1000.0 metros de esta ubicación con una valoración de 4.7",u1i1
inmueble_1,user_pref_2,2,1,3,1,1,3,"Tienes un restaurante llamado 'SYTK Sullungtang 송영 통큰 설렁탕' a 600.0 metros de esta ubicación con una valoración de 4.9, Tienes un '조아라 내과 / Ahra Cho MD' a 600.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'OH Neul Do' a 700.0 metros de esta ubicación con una valoración de 4.0, Tienes un 'Miju Sungmoon Presbyterian Church' a 500.0 metros de esta ubicación con una valoración de 5.0",u2i1
inmueble_1,user_pref_3,0,4,1,3,3,2,"Tienes un '조아라 내과 / Ahra Cho MD' a 600.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Club Monte Cristo' a 500.0 metros de esta ubicación con una valoración de 4.7",u3i1
inmueble_2,user_pref_1,3,4,1,4,2,1,"Tienes un restaurante llamado 'Es Todo Vegan Street Food' a 1000.0 metros de esta ubicación con una valoración de 4.94, Tienes un 'BodyByNiisign' a 1100.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Extreme Voice' a 100.0 metros de esta ubicación con una valoración de 4.0",u1i2
inmueble_2,user_pref_2,2,1,3,1,1,3,"Tienes un restaurante llamado 'Hayato' a 300.0 metros de esta ubicación con una valoración de 4.85, Tienes un 'BodyByNiisign' a 1100.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Nogoom Hookah' a 1300.0 metros de esta ubicación con una valoración de 3.9",u2i2
inmueble_2,user_pref_3,0,4,1,3,3,2,"Tienes un 'BodyByNiisign' a 1100.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Flying Embers Taproom' a 900.0 metros de esta ubicación con una valoración de 4.6",u3i2
inmueble_3,user_pref_1,3,4,1,4,2,1,"Tienes un restaurante llamado 'Danny Boy's Famous Original Pizza' a 700.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'Westlawn Garage' a 400.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'United Artists' a 600.0 metros de esta ubicación con una valoración de 4.9",u1i3
inmueble_3,user_pref_2,2,1,3,1,1,3,"Tienes un restaurante llamado 'Poketendo' a 100.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'Westlawn Garage' a 400.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'VR Territory' a 600.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'New City Church of Los Angeles' a 600.0 metros de esta ubicación con una valoración de 4.8",u2i3
inmueble_3,user_pref_3,0,4,1,3,3,2,"Tienes un 'Westlawn Garage' a 400.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en '3 Collective' a 800.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'Chabad of Downtown Los Angeles' a 700.0 metros de esta ubicación con una valoración de 4.9",u3i3
inmueble_4,user_pref_1,3,4,1,4,2,1,"Tienes un restaurante llamado 'JT Cafe' a 900.0 metros de esta ubicación con una valoración de 4.5, Tienes un 'Metcon Method Fitness' a 1100.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'Royal Rehearsal' a 500.0 metros de esta ubicación con una valoración de 4.9",u1i4
inmueble_4,user_pref_2,2,1,3,1,1,3,"Tienes un restaurante llamado 'Hanmaeum Restaurant' a 700.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'Metcon Method Fitness' a 1100.0 metros de esta ubicación con una valoración de 5.0, Tienes un 'Fearless LA Church' a 1000.0 metros de esta ubicación con una valoración de 4.9",u2i4
inmueble_4,user_pref_3,0,4,1,3,3,2,"Tienes un 'Metcon Method Fitness' a 1100.0 metros de esta ubicación con una valoración de 5.0, Te podrás divertir en 'High Society Saturdays' a 1100.0 metros de esta ubicación con una valoración de 5.0",u3i4
inmueble_5,user_pref_1,3,4,1,4,2,1,"Tienes un restaurante llamado 'Domino's Pizza' a 400.0 metros de esta ubicación con una valoración de 3.4, Tienes un 'Slauson J Line (Silver) Station' a 500.0 metros de esta ubicación con una valoración de 2.8, Te podrás divertir en 'Junipero Serra Branch Library' a 1000.0 metros de esta ubicación con una valoración de 4.64",u1i5
inmueble_5,user_pref_2,2,1,3,1,1,3,"Tienes un restaurante llamado 'House Of Boba' a 900.0 metros de esta ubicación con una valoración de 4.4, Tienes un 'Slauson J Line (Silver) Station' a 500.0 metros de esta ubicación con una valoración de 2.8, Tienes un 'Greater Cornerstone Baptist' a 900.0 metros de esta ubicación con una valoración de 4.9",u2i5
inmueble_5,user_pref_3,0,4,1,3,3,2,Tienes un 'Slauson J Line (Silver) Station' a 500.0 metros de esta ubicación con una valoración de 2.8,u3i5
