address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,Hours_day,Hours_night,general_category,res_asian,res_latin,res_euro,res_fast,res_vegan,religion,recreation,bienestar,avg_rating_correction,Subcategoria
"San Soo Dang, 761 S Vermont Ave, Los Angeles, CA 90005",0x80c2c778e3b73d33:0xbdc58662a4a97d49,34.0580917,-118.2921295,['Korean restaurant'],4.4,18,54,11,Food,1,0,0,0,0,0,0,0,4.565217391304348,Comida asiática
"El Zacatecas Sports Bar, 12017 Venice Blvd., Los Angeles, CA 90066",0x80c2ba5b61bb2415:0x217207f872e3db5e,34.0061111,-118.4297222,['Sports bar' 'Bar'],4.0,18,63,28,Food,0,0,0,0,0,0,3,0,4.230769230769231,Juegos/Deporte
"Marina Bar & Restaurant, Tom Bradley International Terminal, 1 World Way, Los Angeles, CA 90045",0x80c2b12739335d6b:0xea7f9dd4f3c9f585,33.9436456,-118.408984,['Bar & grill' 'American restaurant' 'Bar'],4.4,5,77,0,Food,0,0,0,1,0,0,0,0,,Comida americana
"PIZZA ROW RECORDS, 433 E 7th St, Los Angeles, CA 90014",0x80c2c7726b53b8e5:0xad288d11654f5e48,34.0414061,-118.2474772,['Pizza restaurant'],4.3,34,95,18,Food,0,0,0,1,0,0,0,0,4.777777777777778,Comida americana
"La Superior Panaderia, 2001 W 8th St, Los Angeles, CA 90057",0x80c2c798ad41d859:0x8823cd86d2abd5b3,34.0545417,-118.2767675,['Mexican restaurant'],4.3,30,84,21,Food,0,1,0,0,0,0,0,0,4.484848484848484,Comida latina
"Pure Barre, 11819 Wilshire Blvd Suite 213, Los Angeles, CA 90025",0x80c2bb5df7f0ba47:0xb0c3b18d3e1f815d,34.0483245,-118.4629934,['Physical fitness program' 'Fitness center' 'Gym'],4.8,53,0,0,Sports,0,0,0,0,0,0,0,1,4.888888888888889,Bienestar general
"Westlawn Garage, 524s Flower St, Los Angeles, CA 90071",0x80c2c7b3a3b66389:0xe5f94c15fed93c14,34.0508721,-118.256511,['Parking garage' 'Parking lot'],5.0,3,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Tower Wound Care Centers, 8635 W 3rd St #1085w, Los Angeles, CA 90048",0x80c2b94d5746321f:0x316c58d1d1014b54,34.074025,-118.3809398,['Medical clinic' 'Nutritionist' 'Surgeon'],4.9,57,45,0,Health,0,0,0,0,0,0,0,1,5.0,Bienestar general
"Dr. Kazu Suzuki - Wound Care Clinic, 600 S San Vicente Blvd, Los Angeles, CA 90048",0x80c2b9320ee4ca47:0x6e6499b6e9803c81,34.0659484,-118.3727569,['Medical clinic'],4.9,28,35,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Hollywood Marijuana Card Marijuana Doctors, 7127 Sunset Blvd #4411, Los Angeles, CA 90046",0x80c2bf273f7cb3e3:0xb7c2d2064a101db3,34.0984686,-118.3447151,"['Medical clinic' 'Alternative medicine practitioner' 'Doctor'
 'Family practice physician' 'Holistic medicine practitioner']",4.9,527,55,0,Health,0,0,0,0,0,0,0,1,4.742857142857143,Bienestar general
