address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,Hours_day,Hours_night,fecha,general_category,res_asian,res_latin,res_euro,res_fast,res_vegan,religion,recreation,bienestar,avg_rating_correction
"California Gimbap & Udon (로데오 가주김밥), 833 S Western Ave #39, Los Angeles, CA 90005",0x80c2b885db85dd81:0x3dcee80274b598f5,34.057355099999995,-118.3095815,['Korean restaurant'],4.3,45,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Panaderia Morelos, 2439 East Cesar E Chavez Avenue, Los Angeles, CA 90033",0x80c2c607fd762fd1:0x9599eb99e27dceed,34.0464314,-118.2064279,"['Bakery', 'Mexican restaurant']",4.3,268,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Kosher Pizza Station, 8965 W Pico Blvd #3332, Los Angeles, CA 90035",0x80c2b95e84389541:0x2395c8d683da0936,34.055448,-118.387587,"['Pizza restaurant', 'Delivery service', 'Italian restaurant', 'Kosher restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Mexican restaurant']",4.7,197,0,0,2024-07-18,Food,0,1,1,1,0,0,0,0,
"Eilat Bakery, 9060 W Pico Blvd, Los Angeles, CA 90035",0x80c2b95ef0a66109:0x3e18a60d24bcf1e0,34.0550122,-118.3892767,"['Kosher restaurant', 'Cafe', 'Caterer', 'Coffee shop', 'Vegetarian restaurant']",3.2,138,0,0,2024-07-18,Food,0,0,0,0,1,0,0,0,
"Tender Greens, 1109 Glendon Ave, Los Angeles, CA 90024",0x80c2bc81908fd3b9:0x560826cae7cd57dd,34.0604948,-118.4445603,"['American restaurant', 'Grocery delivery service', 'Restaurant']",4.4,345,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Skylight Theatre Company, 1816 1/2 N Vermont Ave, Los Angeles, CA 90027",0x80c2b95a84d611b1:0x61bf1c78353a8204,34.1040603,-118.2915836,"['Stage', 'Non-profit organization', 'Performing arts group', 'Performing arts theater']",4.7,48,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,1,0,
"Carl's Jr., 2110 W 7th St, Los Angeles, CA 90057",0x80c2c79f729749af:0xa8ab2ee93d091ed3,34.0564033,-118.2774801,"['Fast food restaurant', 'Hamburger restaurant']",3.8,398,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"El Sonsonateco Restaurant, 2171 W Washington Blvd, Los Angeles, CA 90018",0x80c2b870f6f56f91:0x88cbaa1584f276fb,34.040087199999995,-118.3082754,"['Salvadoran restaurant', 'Latin American restaurant']",4.3,133,0,0,2024-07-18,Food,0,1,0,1,0,0,0,0,
"Vim Thai 4 (Melrose), 5784 Melrose Ave, Los Angeles, CA 90004",0x80c2b8cbd7ce0bd5:0x636563420e48757a,34.0833237,-118.3262618,"['Thai restaurant', 'Chinese restaurant', 'Restaurant']",4.4,86,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Rincon Taurino, 2308 W 11th St, Los Angeles, CA 90006",0x80c2c79b97e473bf:0x79768e8083ca1096,34.0512863,-118.2834769,['Mexican restaurant'],3.8,33,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
